Taxonomic Identification,Phylum or Class,Date,Station Number,Depth (m),Actual Count,Density (cells/mL),Biovolume (cubic micrometers/mL),Cell Volume (cubic micrometers/cell)
Unknown Dinoflagellate,DINOPHYCEAE,6/6/2017,22.0,2,2,6.07658,5536.13899,911.06110
Unknown Dinoflagellate,DINOPHYCEAE,6/6/2017,22.0,2,1,3.03829,3970.74797,1306.90144
Unknown Dinoflagellate,DINOPHYCEAE,6/6/2017,22.0,2,1,3.03829,17410.20262,5730.26016
Unknown Euglenophyte,EUGLENOPHYTA,6/6/2017,22.0,2,2,6.07658,1696.63570,279.20881
Unknown Euglenophyte,EUGLENOPHYTA,6/6/2017,22.0,2,15,45.57438,73377.70428,1610.06488
Unknown Haptophyte,HAPTOPHYTA,6/6/2017,22.0,2,4,12.15317,421.57380,34.68839
Pseudopedinella pyriformis,RAPHIDOPHYCEAE,6/6/2017,22.0,2,5,15.19146,12026.77437,791.68000
Unknown Raphidophyte,RAPHIDOPHYCEAE,6/6/2017,22.0,2,2,38.19567,159.99351,4.18879
Ceratoneis closterium,BACILLARIOPHYTA,6/6/2017,27.0,2,2,8.07089,799.01806,99.00000
Chaetoceros sp.,BACILLARIOPHYTA,6/6/2017,27.0,2,2,8.64225,1018.14050,117.80963
Coscinodiscus sp.,BACILLARIOPHYTA,6/6/2017,27.0,2,1,0.22222,5089.42643,22902.19110
Nitzschia spp.,BACILLARIOPHYTA,6/6/2017,27.0,2,1,4.32113,95.06478,22.00000
Paralia sulcata,BACILLARIOPHYTA,6/6/2017,27.0,2,1,0.22222,126.71206,570.19859
Podosira sp.,BACILLARIOPHYTA,6/6/2017,27.0,2,1,4.32113,4344.06615,1005.30880
Thalassiosira angulata,BACILLARIOPHYTA,6/6/2017,27.0,2,1,4.03544,3106.03967,769.68955
Thalassiosira eccentrica,BACILLARIOPHYTA,6/6/2017,27.0,2,1,0.22222,3227.14316,14521.99978
Thalassiosira spp.,BACILLARIOPHYTA,6/6/2017,27.0,2,6,25.92676,19955.55388,769.68955
Thalassiosira spp.,BACILLARIOPHYTA,6/6/2017,27.0,2,2,0.44445,25071.53385,56410.39004
Unknown Diatom,BACILLARIOPHYTA,6/6/2017,27.0,2,2,158.44129,2239.90911,14.13716
Unknown Diatom,BACILLARIOPHYTA,6/6/2017,27.0,2,11,47.53239,3145.95234,66.18545
Unknown Diatom,BACILLARIOPHYTA,6/6/2017,27.0,2,1,0.22222,78.54053,353.42888
Unknown Diatom,BACILLARIOPHYTA,6/6/2017,27.0,2,1,0.22222,667.33997,3003.00000
Cryptomonas spp.,CRYPTOPHYTA,6/6/2017,27.0,2,3,12.96338,1866.59092,143.98954
Plagioselmis nannoplanctica,CRYPTOPHYTA,6/6/2017,27.0,2,2,8.64225,1882.42867,217.81691
Plagioselmis prolonga,CRYPTOPHYTA,6/6/2017,27.0,2,214,924.72100,170432.19530,184.30661
Teleaulax sp.,CRYPTOPHYTA,6/6/2017,27.0,2,56,241.98306,111149.26750,459.32664
Unknown Cryptophyte,CRYPTOPHYTA,6/6/2017,27.0,2,1,4.32113,791.88706,183.25942
Eucapsis microscopica,CYANOPHYCEAE,6/6/2017,27.0,2,217,17190.88022,4608.57151,0.26808
Heterocapsa rotundata,DINOPHYCEAE,6/6/2017,27.0,2,3,12.96338,1696.90084,130.89958
Heterocapsa triquetra,DINOPHYCEAE,6/6/2017,27.0,2,2,0.44445,747.24043,1681.27425
Nematodinium sp.,DINOPHYCEAE,6/6/2017,27.0,2,1,0.22222,12659.57008,56967.49867
Unknown Euglenophyte,EUGLENOPHYTA,6/6/2017,27.0,2,1,4.32113,2138.09506,494.80043
Unknown Euglenophyte,EUGLENOPHYTA,6/6/2017,27.0,2,1,4.32113,2682.93598,620.88814
Unknown Haptophyte,HAPTOPHYTA,6/6/2017,27.0,2,2,8.64225,882.89524,102.16032
Achnanthidium sp.,BACILLARIOPHYTA,6/6/2017,36.0,2,1,4.27791,161.27346,37.69908
Actinocyclus curvatulus,BACILLARIOPHYTA,6/6/2017,36.0,2,1,7.26380,84387.92829,11617.59982
Actinoptychus senarius,BACILLARIOPHYTA,6/6/2017,36.0,2,2,8.55583,13644.40633,1594.74962
Aulacoseira sp.,BACILLARIOPHYTA,6/6/2017,36.0,2,2,0.80001,615.75777,769.68955
Chaetoceros sp.,BACILLARIOPHYTA,6/6/2017,36.0,2,1,4.27791,1411.14274,329.86695
Cyclotella sp.,BACILLARIOPHYTA,6/6/2017,36.0,2,1,7.26380,7302.36264,1005.30880
Diploneis sp.,BACILLARIOPHYTA,6/6/2017,36.0,2,1,0.40000,488.20794,1220.50772
Entomoneis sp.,BACILLARIOPHYTA,6/6/2017,36.0,2,1,4.27791,13708.24374,3204.42180
Fallacia pygmaea,BACILLARIOPHYTA,6/6/2017,36.0,2,1,4.27791,1693.37129,395.84034
Fragilaria sp.,BACILLARIOPHYTA,6/6/2017,36.0,2,1,4.27791,1572.41619,367.56603
Luticola sp.,BACILLARIOPHYTA,6/6/2017,36.0,2,1,0.40000,70.49798,176.24320
Melosira varians,BACILLARIOPHYTA,6/6/2017,36.0,2,6,25.66749,149661.76700,5830.79104
Nitzschia spp.,BACILLARIOPHYTA,6/6/2017,36.0,2,7,27.80645,2027.08997,72.90000
Paralia sulcata,BACILLARIOPHYTA,6/6/2017,36.0,2,21,89.83621,50977.53142,567.44969
Planothidium sp.,BACILLARIOPHYTA,6/6/2017,36.0,2,1,4.27791,655.17341,153.15251
Staurosira venter,BACILLARIOPHYTA,6/6/2017,36.0,2,6,25.66749,3023.87730,117.80963
Thalassiosira eccentrica,BACILLARIOPHYTA,6/6/2017,36.0,2,3,12.18773,312484.88463,25639.30139
Thalassiosira spp.,BACILLARIOPHYTA,6/6/2017,36.0,2,61,260.95281,182509.47408,699.39647
Thalassiosira spp.,BACILLARIOPHYTA,6/6/2017,36.0,2,9,38.50123,406651.01880,10562.02558
Tryblionella hyalina,BACILLARIOPHYTA,6/6/2017,36.0,2,1,4.27791,2771.88752,647.95294
Tryblionella sp.,BACILLARIOPHYTA,6/6/2017,36.0,2,1,0.40000,2032.00063,5079.95103
Unknown Diatom,BACILLARIOPHYTA,6/6/2017,36.0,2,39,164.69972,13970.31311,84.82293
Unknown Diatom,BACILLARIOPHYTA,6/6/2017,36.0,2,1,4.27791,423.34282,98.96009
Unknown Diatom,BACILLARIOPHYTA,6/6/2017,36.0,2,1,4.27791,3252.34803,760.26478
Unknown Diatom,BACILLARIOPHYTA,6/6/2017,36.0,2,4,17.11166,27780.77932,1623.50000
Unknown Diatom,BACILLARIOPHYTA,6/6/2017,36.0,2,1,4.27791,11611.68882,2714.33376
Oocystis sp.,CHLOROPHYTA,6/6/2017,36.0,2,8,34.22332,967.64073,28.27431
Pyramimonas grossii,CHLOROPHYTA,6/6/2017,36.0,2,2,8.55583,120.95509,14.13716
Pyramimonas spp.,CHLOROPHYTA,6/6/2017,36.0,2,1,4.27791,406.89293,95.11478
Scenedesmus sp.,CHLOROPHYTA,6/6/2017,36.0,2,2,8.55583,245.27005,28.66701
Unknown Chlorophyte,CHLOROPHYTA,6/6/2017,36.0,2,2,427.79149,6047.75459,14.13716
Unknown Chlorophyte,CHLOROPHYTA,6/6/2017,36.0,2,4,17.11166,2384.83123,139.36879
Unknown Chlorophyte,CHLOROPHYTA,6/6/2017,36.0,2,1,4.27791,792.03186,185.14437
Cryptomonas spp.,CRYPTOPHYTA,6/6/2017,36.0,2,3,12.83374,9367.29989,729.89608
Plagioselmis nannoplanctica,CRYPTOPHYTA,6/6/2017,36.0,2,1,4.27791,2168.23202,506.84319
Plagioselmis prolonga,CRYPTOPHYTA,6/6/2017,36.0,2,86,365.76172,68331.56321,186.81989
Teleaulax sp.,CRYPTOPHYTA,6/6/2017,36.0,2,9,36.36228,5720.29780,157.31407
Unknown Cryptophyte,CRYPTOPHYTA,6/6/2017,36.0,2,1,213.89574,2869.88355,13.41721
Eucapsis microscopica,CYANOPHYCEAE,6/6/2017,36.0,2,257,54971.20638,14736.81002,0.26808
Heterocapsa sp.,DINOPHYCEAE,6/6/2017,36.0,2,2,8.55583,1205.60868,140.91078
Heterocapsa sp.,DINOPHYCEAE,6/6/2017,36.0,2,1,4.27791,4336.46403,1013.68637
Unknown Dinoflagellate,DINOPHYCEAE,6/6/2017,36.0,2,1,4.27791,6289.66478,1470.26412
Unknown Dinoflagellate,DINOPHYCEAE,6/6/2017,36.0,2,2,8.55583,24598.68183,2875.07845
Unknown Euglenophyte,EUGLENOPHYTA,6/6/2017,36.0,2,1,5.77086,1386.91968,240.33164
Unknown Euglenophyte,EUGLENOPHYTA,6/6/2017,36.0,2,3,10.69479,4569.41458,427.25624
Unknown Raphidophyte,RAPHIDOPHYCEAE,6/6/2017,36.0,2,11,2352.85319,33262.65026,14.13716
Achnanthidium minutissimum,BACILLARIOPHYTA,6/22/2017,6.0,2,2,14.25972,615.97500,43.19686
Achnanthidium sp.,BACILLARIOPHYTA,6/22/2017,6.0,2,2,14.25972,1191.63165,83.56629
Amphora sp.,BACILLARIOPHYTA,6/22/2017,6.0,2,1,12.10633,1452.96501,120.01692
Aulacoseira granulata,BACILLARIOPHYTA,6/22/2017,6.0,2,1,12.10633,219679.40950,18145.82384
Aulacoseira sp.,BACILLARIOPHYTA,6/22/2017,6.0,2,1,7.12986,13439.45465,1884.95400
Chaetoceros sp.,BACILLARIOPHYTA,6/22/2017,6.0,2,1,7.12986,2995.89510,420.19000
Cocconeis placentula,BACILLARIOPHYTA,6/22/2017,6.0,2,4,28.51943,14044.23011,492.44423
Cyclotella meneghiniana,BACILLARIOPHYTA,6/22/2017,6.0,2,1,7.12986,9710.00599,1361.87927
Cyclotella sp.,BACILLARIOPHYTA,6/22/2017,6.0,2,13,92.68816,36398.52301,392.69875
Denticula sp.,BACILLARIOPHYTA,6/22/2017,6.0,2,2,14.25972,4569.41458,320.44218
Encyonema sp.,BACILLARIOPHYTA,6/22/2017,6.0,2,1,7.12986,156.87480,22.00251
Entomoneis sp.,BACILLARIOPHYTA,6/22/2017,6.0,2,1,7.12986,6551.73414,918.91508
Fragilaria brevistriata,BACILLARIOPHYTA,6/22/2017,6.0,2,3,21.38957,7979.67620,373.06381
Fragilaria sp.,BACILLARIOPHYTA,6/22/2017,6.0,2,1,7.12986,403.18364,56.54862
Gomphonema sp.,BACILLARIOPHYTA,6/22/2017,6.0,2,1,7.12986,839.96592,117.80963
Hippodonta sp.,BACILLARIOPHYTA,6/22/2017,6.0,2,3,21.38957,3275.86707,153.15251
Humidophila contenta,BACILLARIOPHYTA,6/22/2017,6.0,2,1,7.12986,554.37750,77.75435
Navicula spp.,BACILLARIOPHYTA,6/22/2017,6.0,2,1,7.12986,7391.70006,1036.72470
Nitzschia spp.,BACILLARIOPHYTA,6/22/2017,6.0,2,21,149.72702,14149.20351,94.50000
Paralia sulcata,BACILLARIOPHYTA,6/22/2017,6.0,2,1,12.10633,4754.14235,392.69875
Rhoicosphenia sp.,BACILLARIOPHYTA,6/22/2017,6.0,2,1,7.12986,584.18717,81.93531
Seminavis sp.,BACILLARIOPHYTA,6/22/2017,6.0,2,1,7.12986,1155.27162,162.03290
Thalassiosira spp.,BACILLARIOPHYTA,6/22/2017,6.0,2,11,78.42844,37266.48779,475.16549
Thalassiosira spp.,BACILLARIOPHYTA,6/22/2017,6.0,2,1,7.12986,5487.77732,769.68955
Tryblionella levidensis,BACILLARIOPHYTA,6/22/2017,6.0,2,1,12.10633,11581.09075,956.61415
Unknown Diatom,BACILLARIOPHYTA,6/22/2017,6.0,2,1,356.49291,6859.72164,19.24224
Unknown Diatom,BACILLARIOPHYTA,6/22/2017,6.0,2,55,392.14220,31082.09874,79.26232
Unknown Diatom,BACILLARIOPHYTA,6/22/2017,6.0,2,1,7.12986,1026.69957,144.00000
Unknown Diatom,BACILLARIOPHYTA,6/22/2017,6.0,2,6,42.77915,7805.63526,182.46355
Unknown Diatom,BACILLARIOPHYTA,6/22/2017,6.0,2,1,7.12986,31941.76454,4480.00000
Drepanochloris nannoselene,CHLOROPHYTA,6/22/2017,6.0,2,3,21.38957,436.78228,20.42034
Monoraphidium sp.,CHLOROPHYTA,6/22/2017,6.0,2,4,28.51943,209.05818,7.33038
Plagioselmis prolonga,CRYPTOPHYTA,6/22/2017,6.0,2,10,71.29858,6047.75459,84.82293
Teleaulax sp.,CRYPTOPHYTA,6/22/2017,6.0,2,24,171.11660,31537.92025,184.30661
Unknown Cryptophyte,CRYPTOPHYTA,6/22/2017,6.0,2,1,7.12986,1747.12910,245.04402
Eucapsis microscopica,CYANOPHYCEAE,6/22/2017,6.0,2,255,90905.69149,24370.21110,0.26808
Heterocapsa sp.,DINOPHYCEAE,6/22/2017,6.0,2,2,14.25972,6212.01459,435.63381
Asterionellopsis glacialis,BACILLARIOPHYTA,6/22/2017,13.0,2,1,5.94155,980.35550,165.00000
Aulacoseira alpigena,BACILLARIOPHYTA,6/22/2017,13.0,2,2,11.88310,3583.85457,301.59264
Aulacoseira sp.,BACILLARIOPHYTA,6/22/2017,13.0,2,1,0.40000,950.34043,2375.82744
Chaetoceros sp.,BACILLARIOPHYTA,6/22/2017,13.0,2,5,29.70774,3247.86821,109.32733
Cocconeis placentula,BACILLARIOPHYTA,6/22/2017,13.0,2,1,0.40000,279.35296,698.37546
Cyclotella sp.,BACILLARIOPHYTA,6/22/2017,13.0,2,9,53.47394,8063.67279,150.79632
Epithemia sorex,BACILLARIOPHYTA,6/22/2017,13.0,2,2,0.80001,278.41690,348.01767
Fragilaria sp.,BACILLARIOPHYTA,6/22/2017,13.0,2,1,5.94155,223.99091,37.69908
Fragilaria sp.,BACILLARIOPHYTA,6/22/2017,13.0,2,8,47.53239,14932.72739,314.15900
Geissleria decussis,BACILLARIOPHYTA,6/22/2017,13.0,2,1,5.94155,6299.74437,1060.28663
Gomphonema sp.,BACILLARIOPHYTA,6/22/2017,13.0,2,1,7.26380,1882.64037,259.18118
Navicula spp.,BACILLARIOPHYTA,6/22/2017,13.0,2,1,0.40000,356.63684,891.58324
Nitzschia fruticosa,BACILLARIOPHYTA,6/22/2017,13.0,2,1,7.26380,980.61308,135.00000
Nitzschia spp.,BACILLARIOPHYTA,6/22/2017,13.0,2,9,53.47394,2934.64962,54.88000
Odontella aurita,BACILLARIOPHYTA,6/22/2017,13.0,2,1,5.94155,43799.55602,7371.74094
Paralia sulcata,BACILLARIOPHYTA,6/22/2017,13.0,2,3,17.82465,13551.45011,760.26478
Rhoicosphenia sp.,BACILLARIOPHYTA,6/22/2017,13.0,2,1,5.94155,372.85803,62.75435
Skeletonema sp.,BACILLARIOPHYTA,6/22/2017,13.0,2,8,47.53239,1679.93183,35.34289
Staurosira venter,BACILLARIOPHYTA,6/22/2017,13.0,2,2,14.52760,855.74562,58.90481
Thalassiosira spp.,BACILLARIOPHYTA,6/22/2017,13.0,2,7,41.59084,19762.53140,475.16549
Thalassiosira spp.,BACILLARIOPHYTA,6/22/2017,13.0,2,1,5.94155,3943.17333,663.66089
Tryblionella debilis,BACILLARIOPHYTA,6/22/2017,13.0,2,1,7.26380,2909.53512,400.55273
Tryblionella sp.,BACILLARIOPHYTA,6/22/2017,13.0,2,1,0.40000,143.25793,358.14126
Unknown Diatom,BACILLARIOPHYTA,6/22/2017,13.0,2,3,641.68723,16127.34558,25.13272
Unknown Diatom,BACILLARIOPHYTA,6/22/2017,13.0,2,37,219.83729,12949.47453,58.90481
Unknown Diatom,BACILLARIOPHYTA,6/22/2017,13.0,2,1,5.94155,405.98353,68.32958
Unknown Diatom,BACILLARIOPHYTA,6/22/2017,13.0,2,1,5.94155,503.97955,84.82293
Unknown Diatom,BACILLARIOPHYTA,6/22/2017,13.0,2,1,5.94155,5228.65821,880.01608
Unknown Diatom,BACILLARIOPHYTA,6/22/2017,13.0,2,3,17.82465,18822.82553,1056.00000
Pyramimonas longicauda,CHLOROPHYTA,6/22/2017,13.0,2,2,11.88310,3185.64851,268.08235
Scenedesmus sp.,CHLOROPHYTA,6/22/2017,13.0,2,4,23.76619,975.60486,41.05011
Cryptomonas spp.,CRYPTOPHYTA,6/22/2017,13.0,2,2,11.88310,3135.87275,263.89356
Plagioselmis prolonga,CRYPTOPHYTA,6/22/2017,13.0,2,92,546.62246,46366.11854,84.82293
Teleaulax sp.,CRYPTOPHYTA,6/22/2017,13.0,2,62,368.37600,67894.13386,184.30661
Eucapsis microscopica,CYANOPHYCEAE,6/22/2017,13.0,2,374,79997.00851,21445.78577,0.26808
Heterocapsa rotundata,DINOPHYCEAE,6/22/2017,13.0,2,28,166.36336,17421.51529,104.71967
Unknown Dinoflagellate,DINOPHYCEAE,6/22/2017,13.0,2,2,11.88310,3135.87275,263.89356
Unknown Dinoflagellate,DINOPHYCEAE,6/22/2017,13.0,2,2,11.88310,18118.37590,1524.71835
Lepocinclis sp.,EUGLENOPHYTA,6/22/2017,13.0,2,1,5.94155,11149.76978,1876.57643
Unknown Euglenophyte,EUGLENOPHYTA,6/22/2017,13.0,2,7,41.59084,15107.72029,363.24634
Unknown Euglenophyte,EUGLENOPHYTA,6/22/2017,13.0,2,3,17.82465,10674.56684,598.86559
Unknown Haptophyte,HAPTOPHYTA,6/22/2017,13.0,2,2,11.88310,1592.82425,134.04117
Actinocyclus curvatulus,BACILLARIOPHYTA,6/22/2017,18.0,2,1,0.40000,4647.08615,11617.59982
Amphora sp.,BACILLARIOPHYTA,6/22/2017,18.0,2,2,40.74205,1140.90763,28.00320
Asterionellopsis glacialis,BACILLARIOPHYTA,6/22/2017,18.0,2,23,468.53354,146182.46322,312.00000
Chaetoceros spp.,BACILLARIOPHYTA,6/22/2017,18.0,2,37,753.72786,546249.19358,724.73000
Cyclotella meneghiniana,BACILLARIOPHYTA,6/22/2017,18.0,2,1,0.40000,286.28024,715.69347
Cyclotella sp.,BACILLARIOPHYTA,6/22/2017,18.0,2,1,20.37102,9679.60722,475.16549
Melosira sp.,BACILLARIOPHYTA,6/22/2017,18.0,2,2,14.52760,178280.33795,12271.83594
Navicula spp.,BACILLARIOPHYTA,6/22/2017,18.0,2,2,40.74205,23039.06512,565.48620
Nitzschia spp.,BACILLARIOPHYTA,6/22/2017,18.0,2,25,509.27558,24445.22796,48.00000
Nitzschia spp.,BACILLARIOPHYTA,6/22/2017,18.0,2,2,40.74205,8800.28207,216.00000
Odontella aurita,BACILLARIOPHYTA,6/22/2017,18.0,2,2,0.80001,17522.70669,21903.16548
Plagiolemma sp.,BACILLARIOPHYTA,6/22/2017,18.0,2,1,0.40000,116345.54473,290860.96856
Pleurosigma sp.,BACILLARIOPHYTA,6/22/2017,18.0,2,2,40.74205,222451.57447,5460.00000
Skeletonema sp.,BACILLARIOPHYTA,6/22/2017,18.0,2,75,1527.82675,767968.83718,502.65440
Thalassionema sp.,BACILLARIOPHYTA,6/22/2017,18.0,2,3,1.20001,639.00636,532.50000
Thalassiosira eccentrica,BACILLARIOPHYTA,6/22/2017,18.0,2,1,7.26380,110448.23497,15205.29560
Thalassiosira spp.,BACILLARIOPHYTA,6/22/2017,18.0,2,17,346.30740,393024.05178,1134.89939
Unknown Diatom,BACILLARIOPHYTA,6/22/2017,18.0,2,5,1069.47872,24258.21564,22.68228
Unknown Diatom,BACILLARIOPHYTA,6/22/2017,18.0,2,79,1609.31084,94796.15334,58.90481
Unknown Diatom,BACILLARIOPHYTA,6/22/2017,18.0,2,1,7.26380,55908.71398,7696.89550
Pyramimonas longicauda,CHLOROPHYTA,6/22/2017,18.0,2,1,20.37102,8532.98708,418.87867
Scenedesmus sp.,CHLOROPHYTA,6/22/2017,18.0,2,8,162.96819,3413.19483,20.94393
Tetradesmus dimorphus,CHLOROPHYTA,6/22/2017,18.0,2,4,1.60002,36.86169,23.03833
Unknown Chlorophyte,CHLOROPHYTA,6/22/2017,18.0,2,2,40.74205,2152.87264,52.84154
Unknown Chlorophyte,CHLOROPHYTA,6/22/2017,18.0,2,2,40.74205,5866.85471,144.00000
Dictyocha octonaria,CHRYSOPHYCEAE,6/22/2017,18.0,2,1,0.40000,969.81848,2424.52208
Plagioselmis prolonga,CRYPTOPHYTA,6/22/2017,18.0,2,5,101.85512,18772.57158,184.30661
Teleaulax sp.,CRYPTOPHYTA,6/22/2017,18.0,2,15,305.56535,154873.71550,506.84319
Eucapsis microscopica,CYANOPHYCEAE,6/22/2017,18.0,2,218,46629.27234,12500.48475,0.26808
Heterocapsa rotundata,DINOPHYCEAE,6/22/2017,18.0,2,6,122.22614,12799.48062,104.71967
Heterocapsa triquetra,DINOPHYCEAE,6/22/2017,18.0,2,1,0.40000,862.06087,2155.13074
Karlodinium veneficum,DINOPHYCEAE,6/22/2017,18.0,2,1,0.40000,115.19278,287.97908
Unknown Dinoflagellate,DINOPHYCEAE,6/22/2017,18.0,2,1,20.37102,1759.92859,86.39372
Unknown Dinoflagellate,DINOPHYCEAE,6/22/2017,18.0,2,2,40.74205,7891.30645,193.68950
Unknown Dinoflagellate,DINOPHYCEAE,6/22/2017,18.0,2,1,20.37102,15956.68584,783.30311
Unknown Dinoflagellate,DINOPHYCEAE,6/22/2017,18.0,2,1,20.37102,43262.24449,2123.71484
Unknown Dinoflagellate,DINOPHYCEAE,6/22/2017,18.0,2,3,1.20001,8143.08228,6785.83440
Unknown Euglenophyte,EUGLENOPHYTA,6/22/2017,18.0,2,1,20.37102,18199.26151,893.38966
Pseudopedinella pyriformis,RAPHIDOPHYCEAE,6/22/2017,18.0,2,1,20.37102,4799.80523,235.61925
Achnanthidium minutissimum,BACILLARIOPHYTA,6/22/2017,22.0,2,1,6.89986,238.44194,34.55749
Asterionellopsis glacialis,BACILLARIOPHYTA,6/22/2017,22.0,2,16,110.39780,22079.56074,200.00000
Brachysira sp.,BACILLARIOPHYTA,6/22/2017,22.0,2,1,7.26380,2977.99477,409.97750
Chaetoceros spp.,BACILLARIOPHYTA,6/22/2017,22.0,2,17,117.29767,22054.30724,188.02000
Cyclotella sp.,BACILLARIOPHYTA,6/22/2017,22.0,2,2,13.79973,3251.48096,235.61925
Cyclotella sp.,BACILLARIOPHYTA,6/22/2017,22.0,2,1,0.40000,912.32681,2280.79434
Eucampia sp.,BACILLARIOPHYTA,6/22/2017,22.0,2,1,7.26380,44224.93375,6088.40142
Nitzschia spp.,BACILLARIOPHYTA,6/22/2017,22.0,2,5,34.49931,4967.90117,144.00000
Nitzschia spp.,BACILLARIOPHYTA,6/22/2017,22.0,2,10,68.99863,12574.99983,182.25000
Skeletonema sp.,BACILLARIOPHYTA,6/22/2017,22.0,2,24,165.59671,45520.73349,274.88913
Thalassiosira eccentrica,BACILLARIOPHYTA,6/22/2017,22.0,2,3,1.20001,47097.92914,39247.88387
Thalassiosira spp.,BACILLARIOPHYTA,6/22/2017,22.0,2,15,103.49794,49178.64958,475.16549
Thalassiosira spp.,BACILLARIOPHYTA,6/22/2017,22.0,2,1,0.40000,482.55302,1206.37056
Ulnaria ulna,BACILLARIOPHYTA,6/22/2017,22.0,2,1,0.40000,3255.72493,8139.23137
Unknown Diatom,BACILLARIOPHYTA,6/22/2017,22.0,2,1,6.89986,221.10071,32.04422
Unknown Diatom,BACILLARIOPHYTA,6/22/2017,22.0,2,11,1568.56879,53368.07442,34.02342
Unknown Diatom,BACILLARIOPHYTA,6/22/2017,22.0,2,64,441.59121,37457.06070,84.82293
Unknown Diatom,BACILLARIOPHYTA,6/22/2017,22.0,2,2,13.79973,5657.57688,409.97750
Pyramimonas longicauda,CHLOROPHYTA,6/22/2017,22.0,2,2,13.79973,5780.41060,418.87867
Unknown Chlorophyte,CHLOROPHYTA,6/22/2017,22.0,2,2,13.79973,1324.77364,96.00000
Unknown Chlorophyte,CHLOROPHYTA,6/22/2017,22.0,2,1,0.40000,174.25526,435.63381
Cryptomonas spp.,CRYPTOPHYTA,6/22/2017,22.0,2,2,13.79973,5350.63707,387.73504
Plagioselmis nannoplanctica,CRYPTOPHYTA,6/22/2017,22.0,2,5,34.49931,13818.79410,400.55272
Plagioselmis prolonga,CRYPTOPHYTA,6/22/2017,22.0,2,49,338.09327,28678.06210,84.82293
Teleaulax sp.,CRYPTOPHYTA,6/22/2017,22.0,2,54,372.59259,134611.31190,361.28285
Unknown Cryptophyte,CRYPTOPHYTA,6/22/2017,22.0,2,1,142.59716,1634.23769,11.46052
Eucapsis microscopica,CYANOPHYCEAE,6/22/2017,22.0,2,401,57181.46241,15329.34063,0.26808
Unknown Cyanophyte,CYANOPHYCEAE,6/22/2017,22.0,2,52,358.79286,2254.36013,6.28318
Gyrodinium spp.,DINOPHYCEAE,6/22/2017,22.0,2,1,0.40000,414.69401,1036.72470
Heterocapsa rotundata,DINOPHYCEAE,6/22/2017,22.0,2,14,96.59808,13611.71089,140.91078
Heterocapsa sp.,DINOPHYCEAE,6/22/2017,22.0,2,1,6.89986,6141.68627,890.11717
Heterocapsa sp.,DINOPHYCEAE,6/22/2017,22.0,2,1,6.89986,19837.64664,2875.07845
Unknown Dinoflagellate,DINOPHYCEAE,6/22/2017,22.0,2,1,7.26380,7910.89286,1089.08453
Unknown Dinoflagellate,DINOPHYCEAE,6/22/2017,22.0,2,3,20.69959,23811.67893,1150.34554
Unknown Dinoflagellate,DINOPHYCEAE,6/22/2017,22.0,2,1,6.89986,14797.85114,2144.65877
Unknown Dinoflagellate,DINOPHYCEAE,6/22/2017,22.0,2,1,6.89986,51503.45847,7464.41784
Unknown Euglenophyte,EUGLENOPHYTA,6/22/2017,22.0,2,1,6.89986,3861.13364,559.59572
Unknown Euglenophyte,EUGLENOPHYTA,6/22/2017,22.0,2,3,20.69959,64216.74904,3102.32013
Unknown Haptophyte,HAPTOPHYTA,6/22/2017,22.0,2,3,20.69959,975.44429,47.12385
Pseudopedinella pyriformis,RAPHIDOPHYCEAE,6/22/2017,22.0,2,2,13.79973,10924.97604,791.68068
Actinoptychus senarius,BACILLARIOPHYTA,6/22/2017,27.0,2,1,7.26380,7302.36264,1005.30880
Asterionellopsis glacialis,BACILLARIOPHYTA,6/22/2017,27.0,2,5,38.19567,8403.04711,220.00000
Chaetoceros sp.,BACILLARIOPHYTA,6/22/2017,27.0,2,4,29.05520,2785.85135,95.88133
Cocconeis placentula,BACILLARIOPHYTA,6/22/2017,27.0,2,1,0.40000,257.29878,643.24055
Cyclotella sp.,BACILLARIOPHYTA,6/22/2017,27.0,2,1,7.63913,2999.87827,392.69875
Navicula spp.,BACILLARIOPHYTA,6/22/2017,27.0,2,1,0.40000,384.53444,961.32654
Nitzschia spp.,BACILLARIOPHYTA,6/22/2017,27.0,2,6,45.83480,4812.65426,105.00000
Odontella aurita,BACILLARIOPHYTA,6/22/2017,27.0,2,1,7.26380,84707.40665,11661.58208
Paralia sulcata,BACILLARIOPHYTA,6/22/2017,27.0,2,1,7.63913,3599.85392,471.23850
Platessa sp.,BACILLARIOPHYTA,6/22/2017,27.0,2,1,7.26380,604.72691,83.25214
Skeletonema sp.,BACILLARIOPHYTA,6/22/2017,27.0,2,12,91.66960,43558.23248,475.16549
Thalassiosira angulata,BACILLARIOPHYTA,6/22/2017,27.0,2,1,7.26380,9892.41939,1361.87927
Thalassiosira eccentrica,BACILLARIOPHYTA,6/22/2017,27.0,2,2,15.27827,1060276.97583,69397.72310
Thalassiosira spp.,BACILLARIOPHYTA,6/22/2017,27.0,2,15,114.58701,261349.39490,2280.79434
Tryblionella compressa,BACILLARIOPHYTA,6/22/2017,27.0,2,1,7.26380,4107.57899,565.48620
Unknown Diatom,BACILLARIOPHYTA,6/22/2017,27.0,2,10,76.39134,6479.73706,84.82293
Pyramimonas longicauda,CHLOROPHYTA,6/22/2017,27.0,2,3,22.91740,15245.38137,665.23168
Plagioselmis prolonga,CRYPTOPHYTA,6/22/2017,27.0,2,124,947.25258,174584.91565,184.30661
